,date,title,url
0,2023-10-21 15:38:33,Special Offer: Looking for a New Crypto Card?,https://announcements.bybit.com/en-US/article/special-offer-looking-for-a-new-crypto-card--bltaa691019e4782034/
1,2023-10-21 05:00:00,Bybit Saving - Earn 80 APY% with USDT in 7 days - Exclusive Vietnam & Malaysia,https://announcements.bybit.com/en-US/article/bybit-saving---earn-80-apy-with-usdt-in-7-days---exclusive-vietnam-malaysia-bltf33346cfda08b326/
2,2023-10-10 17:00:00,Refer VIP & Get $500 - Vietnam & Malaysia Exclusive,https://announcements.bybit.com/en-US/article/refer-vip-get-500---vietnam-malaysia-exclusive-bltb203e828793d29ca/
3,2023-10-06 08:00:00,Over 800 USDT Await: Invite Friends to Get Now (Exclusive Vietnam & Malaysia),https://announcements.bybit.com/en-US/article/over-800-usdt-await-invite-friends-to-get-now-exclusive-vietnam-malaysia--bltf8dab07a16149c27/
4,2023-09-06 10:00:00,"Copy Trading 101 Returns: Less Risk, More Gains With a 50,000 USDT Prize Pool",https://announcements.bybit.com/en-US/article/copy-trading-101-returns-less-risk-more-gains-with-a-50-000-usdt-prize-pool-blt12b443509d1baa89/
5,2023-10-25 10:00:00,Bybit Web3 IDO Incentive Plan: Get Ready for Your 200 USDT Airdrop!,https://announcements.bybit.com/en-US/article/bybit-web3-ido-incentive-plan-get-ready-for-your-200-usdt-airdrop--bltb6941104882fe624/
6,2023-10-25 10:00:00,"Double-Win Charm: Navigate Market Swings and Share 5,000 USDT",https://announcements.bybit.com/en-US/article/double-win-charm-navigate-market-swings-and-share-5-000-usdt-blt9a8627cff25c2fcf/
7,2023-10-25 09:14:33,🚀 Join Us for Crypto Ark Trading Academy 🌐,https://announcements.bybit.com/en-US/article/-join-us-for-crypto-ark-trading-academy--blted49c11067d60255/
8,2023-10-25 09:00:00,🔥  New STEEMUSDT Contract,https://announcements.bybit.com/en-US/article/-new-steemusdt-contract-blt93f5f4cf449ed8b3/
9,2023-10-25 03:00:04,Bybit Completes Integration of USDC on the Polygon PoS Network,https://announcements.bybit.com/en-US/article/bybit-completes-integration-of-usdc-on-the-polygon-pos-network-blte878034e4657b142/
10,2023-10-25 03:00:00,🎉 Bybit WSOT Throwback Merch Giveaway: Join the Celebration! 🎉,https://announcements.bybit.com/en-US/article/-bybit-wsot-throwback-merch-giveaway-join-the-celebration--blt70bc032cb342ec5c/
11,2023-10-24 10:00:00,"🔥New POLYXUSDT, POWRUSDT Perpetual Contracts",https://announcements.bybit.com/en-US/article/-new-polyxusdt-powrusdt-perpetual-contracts-bltc5a9ffce74ad45d3/
12,2023-10-24 10:00:00,"New Listing: PPT/USDT — Grab a Share of the 50,000 USDT Prize Pool!",https://announcements.bybit.com/en-US/article/new-listing-ppt-usdt-grab-a-share-of-the-50-000-usdt-prize-pool--blt4a7b4cf996a20a28/
13,2023-10-24 09:09:31,"Changes to Funding Rate Intervals and Funding Rate Limit for MINAUSDT Perpetual Contracts Oct 24, 2023, 10AM UTC",https://announcements.bybit.com/en-US/article/changes-to-funding-rate-intervals-and-funding-rate-limit-for-minausdt-perpetual-contracts-oct-24-2023-10am-utc-blt21a919b4fdbc9144/
14,2023-10-24 09:05:33,Adjustment of Handling Fee for Auto-Repayment Triggered by UTA Borrowing Limits,https://announcements.bybit.com/en-US/article/adjustment-of-handling-fee-for-auto-repayment-triggered-by-uta-borrowing-limits-blt546c3f39a6039f51/
15,2023-10-23 12:39:30,"Inaccurate GAS Dao Asset Value Display  on Oct 23, 2023 at 12:38PM UTC",https://announcements.bybit.com/en-US/article/inaccurate-gas-asset-value-display-on-oct-23-2023-at-12-38pm-utc-bltf4c57f1d82fc0882/
16,2023-10-23 11:00:00,Congratulations to Bybit Web3 IDO Pop Social (PPT) Winners!,https://announcements.bybit.com/en-US/article/congratulations-to-bybit-web3-ido-pop-social-ppt-winners--bltb0903899fc928243/
17,2023-10-23 10:11:00,Copy Trading: Unified Trading Account Now Supported for Master Traders,https://announcements.bybit.com/en-US/article/copy-trading-unified-trading-account-now-supported-for-master-traders-bltbc8c3c116677f34b/
18,2023-10-23 10:00:00,Introducing TradeGPT Master Trader: Copy AI-Driven Strategies to Boost Your Profits,https://announcements.bybit.com/en-US/article/introducing-tradegpt-master-trader-copy-ai-driven-strategies-to-boost-your-profits-blte6305f3d4e82fd9d/
19,2023-10-23 10:00:00,"🔥New RIFUSDT, GASUSDT Contracts",https://announcements.bybit.com/en-US/article/-new-rifusdt-gasusdt-contracts-blt3b47cf26d3aefd99/
20,2023-10-28 14:08:33,Bybit Community Prediction Draw: Predict BTC Price and Win 300 USDT! 🔮,https://announcements.bybit.com/en-US/article/bybit-community-prediction-draw-predict-btc-price-and-win-300-usdt--bltcc21bdb38a05977a/
21,2023-10-28 01:29:59,Bybit Quests: Learn How To Use Bybit Earn and Stand to Win 25 USDT,https://announcements.bybit.com/en-US/article/bybit-quests-learn-how-to-use-bybit-earn-and-stand-to-win-25-usdt-blt763261a86296fa72/
22,2023-10-27 10:00:00,Wealth Management Updates: Enjoy a 7-Day Plan With 4% for VIPs and 3.5% for Regular Users,https://announcements.bybit.com/en-US/article/wealth-management-updates-enjoy-a-7-day-plan-with-4-for-vips-and-3-5-for-regular-users-bltdfdf34a67a78a339/
23,2023-10-27 10:00:00,Halloween Bonanza - Trick or Trade!,https://announcements.bybit.com/en-US/article/halloween-bonanza---trick-or-trade--blt0ed895d9fe7bf0e6/
24,2023-10-27 07:00:12,"ETH Easy Options Trading: Unlock a Share of the 5,000 USDT Prize Pool",https://announcements.bybit.com/en-US/article/eth-easy-options-trading-unlock-a-share-of-the-5-000-usdt-prize-pool-bltb8aa4f90df6c43fd/
25,2023-10-26 14:46:42,"Changes To Tick Size for USDT Perpetual Contracts (Nov 1, 2023)",https://announcements.bybit.com/en-US/article/changes-to-tick-size-for-usdt-perpetual-contracts-nov-1-2023--blt7a0fb874a1d9dbd5/
26,2023-10-26 10:00:00,"BEAM/USDT — Grab a Share of the 150, 000 USDT Prize Pool!",https://announcements.bybit.com/en-US/article/beam-usdt-grab-a-share-of-the-150-000-usdt-prize-pool--blt0cc95faa4e1cb175/
27,2023-10-26 08:46:36,ByBUIDLERs Spotlight: Be the Voice of Bybit,https://announcements.bybit.com/en-US/article/bybuidlers-spotlight-be-the-voice-of-bybit-blt7a8d8510c714e188/
28,2023-10-26 08:32:15,"Exclusive Offer for New Users: 10,000 POL in Rewards Await You!",https://announcements.bybit.com/en-US/article/exclusive-offer-for-new-users-10-000-pol-in-rewards-await-you--blta73698625fae34d2/
29,2023-10-26 07:42:03,"[Selected Countries] Deposit, Trade, and Win: iPhone 15 Pro, 5 USDT Coupon & Lucky Draw Chances Await",https://announcements.bybit.com/en-US/article/-selected-countries-deposit-trade-and-win-iphone-15-pro-5-usdt-coupon-lucky-draw-chances-await-bltfc737863ca7874f8/
30,2023-10-26 05:56:19,"Upcoming Bybit Trading Bot Maintenance on Oct 31, 2023",https://announcements.bybit.com/en-US/article/upcoming-bybit-trading-bot-maintenance-on-oct-31-2023-blt4c66bc68f83c09a9/
31,2023-10-26 05:12:09,Bybit x PoP Planet AMA,https://announcements.bybit.com/en-US/article/bybit-x-pop-planet-ama-blt5cdb774c81708d25/
32,2023-10-26 03:02:46,"Changes to Contingency Risk Factor for USDT-USDC Spread in Portfolio Margin Mode (Oct 26, 2023)",https://announcements.bybit.com/en-US/article/changes-to-contingency-risk-factor-for-usdt-usdc-spread-in-portfolio-margin-mode-oct-26-2023--blt28116465ba39f0cb/
33,2023-10-25 12:00:00,"New Listing: POL/USDT — Grab a Share of the 80,000 POL Prize Pool!",https://announcements.bybit.com/en-US/article/new-listing-pol-usdt-grab-a-share-of-the-80-000-pol-prize-pool--blt0a02225c50dddc8d/
34,2023-10-25 10:00:00,"Bybit Launchpool: Stake POL to Earn a Share of 200,000 POL",https://announcements.bybit.com/en-US/article/bybit-launchpool-stake-pol-to-earn-a-share-of-200-000-pol-bltee71869149b54b1d/
